BEGINNER;大;(だい, おお);크다, 큰;小;(しょう, ちい);작다, 작은;'대학교'를 일본어로 무엇이라고 할까요?;大学(だいがく);대학교;大人(おとな);어른;小学校(しょうがっこう);초등학교;小さい(ちいさい);작다;<ruby><rb>大学</rb><rt>だいがく</rt></ruby>の<ruby><rb>前</rb><rt>まえ</rt></ruby>に<ruby><rb>小</rb><rt>ちい</rt></ruby>さい<ruby><rb>店</rb><rt>みせ</rt></ruby>があります。;대학교 앞에 작은 가게가 있습니다.;だいがく (大学);'대학교'는 일본어로 大学(だいがく)이라고 읽습니다. 오늘 배운 大(だい)를 사용한 단어였습니다!
BEGINNER;新;(しん, あたら);새로운;古;(こ, ふる);오래된;'신문'은 일본어로 어떻게 쓸까요?;新聞(しんぶん);신문;新しい(あたらしい);새로운;古本(ふるほん);헌책;古い(ふるい);오래된;<ruby><rb>新</rb><rt>あたら</rt></ruby>しい<ruby><rb>新聞</rb><rt>しんぶん</rt></ruby>を<ruby><rb>読</rb><rt>よ</rt></ruby>みました。;새로운 신문을 읽었습니다.;しんぶん (新聞);'신문'은 일본어로 新聞(しんぶん)이라고 씁니다. 오늘 배운 新(しん)를 사용한 단어였습니다!
BEGINNER;高;(こう, たか);높다, 비싸다;低;(てい, ひく);낮다;'고등학교'를 일본어로 무엇이라고 할까요?;高校(こうこう);고등학교;高い(たかい);높다, 비싸다;低い(ひくい);낮다;気温(きおん);기온;<ruby><rb>高校</rb><rt>こうこう</rt></ruby>の<ruby><rb>時</rb><rt>とき</rt></ruby>、<ruby><rb>気温</rb><rt>きおん</rt></ruby>が<ruby><rb>低</rb><rt>ひく</rt></ruby>かったです。;고등학교 때, 기온이 낮았습니다.;こうこう (高校);'고등학교'는 일본어로 高校(こうこう)라고 합니다. 오늘 배운 高(こう)를 사용한 단어였습니다!
BEGINNER;前;(ぜん, まえ);앞, 전;後;(ご, あと);뒤, 후;'오전'을 일본어로 어떻게 표현할까요?;午前(ごぜん);오전;前(まえ);앞;午後(ごご);오후;後ろ(うしろ);뒤;<ruby><rb>午前</rb><rt>ごぜん</rt></ruby>に<ruby><rb>会議</rb><rt>かいぎ</rt></ruby>があって、<ruby><rb>午後</rb><rt>ごご</rt></ruby>は<ruby><rb>自由</rb><rt>じゆう</rt></ruby>です。;오전에 회의가 있고, 오후는 자유입니다.;ごぜん (午前);'오전'은 일본어로 午前(ごぜん)이라고 표현합니다. 오늘 배운 前(ぜん)를 사용한 단어였습니다!
BEGINNER;入;(にゅう, はい);들어가다;出;(しゅつ, で);나가다;'입학'을 일본어로 무엇이라고 할까요?;入学(にゅうがく);입학;入る(はいる);들어가다;出口(でぐち);출구;出る(でる);나가다;<ruby><rb>入学</rb><rt>にゅうがく</rt></ruby>の<ruby><rb>時</rb><rt>とき</rt></ruby>、<ruby><rb>出口</rb><rt>でぐち</rt></ruby>で<ruby><rb>迷</rb><rt>まよ</rt></ruby>いました。;입학할 때, 출구에서 길을 잃었습니다.;にゅうがく (入学);'입학'은 일본어로 入学(にゅうがく)이라고 합니다. 오늘 배운 入(にゅう)를 사용한 단어였습니다!
BEGINNER;早;(そう, はや);빠르다, 이르다;遅;(ち, おく);늦다;'조퇴'를 일본어로 어떻게 말할까요?;早退(そうたい);조퇴;早い(はやい);빠르다;遅刻(ちこく);지각;遅い(おそい);늦다;<ruby><rb>早退</rb><rt>そうたい</rt></ruby>したので、<ruby><rb>遅刻</rb><rt>ちこく</rt></ruby>した<ruby><rb>友達</rb><rt>ともだち</rt></ruby>に<ruby><rb>会</rb><rt>あ</rt></ruby>えませんでした。;조퇴해서 지각한 친구를 만날 수 없었습니다.;そうたい (早退);'조퇴'는 일본어로 早退(そうたい)라고 말합니다. 오늘 배운 早(そう)를 사용한 단어였습니다!
BEGINNER;東;(とう, ひがし);동쪽;西;(せい, にし);서쪽;'도쿄'를 일본어로 어떻게 쓸까요?;東京(とうきょう);도쿄;東(ひがし);동쪽;西洋(せいよう);서양;西(にし);서쪽;<ruby><rb>東京</rb><rt>とうきょう</rt></ruby>は<ruby><rb>日本</rb><rt>にほん</rt></ruby>の<ruby><rb>東</rb><rt>ひがし</rt></ruby>にあります。;도쿄는 일본의 동쪽에 있습니다.;とうきょう (東京);'도쿄'는 일본어로 東京(とうきょう)라고 씁니다. 오늘 배운 東(とう)를 사용한 단어였습니다!
BEGINNER;開;(かい, ひら);열다;閉;(へい, し);닫다;'개점'을 일본어로 무엇이라고 할까요?;開店(かいてん);개점;開く(ひらく);열다;閉店(へいてん);폐점;閉める(しめる);닫다;<ruby><rb>開店</rb><rt>かいてん</rt></ruby>は9<ruby><rb>時</rb><rt>じ</rt></ruby>で、<ruby><rb>閉店</rb><rt>へいてん</rt></ruby>は8<ruby><rb>時</rb><rt>じ</rt></ruby>です。;개점은 9시이고, 폐점은 8시입니다.;かいてん (開店);'개점'은 일본어로 開店(かいてん)이라고 합니다. 오늘 배운 開(かい)를 사용한 단어였습니다!
BEGINNER;買;(ばい, か);사다;売;(ばい, う);팔다;'구매'를 일본어로 어떻게 표현할까요?;買い物(かいもの);쇼핑, 구매;買う(かう);사다;売店(ばいてん);매점;売る(うる);팔다;<ruby><rb>買</rb><rt>か</rt></ruby>い<ruby><rb>物</rb><rt>もの</rt></ruby>をして、<ruby><rb>売店</rb><rt>ばいてん</rt></ruby>で<ruby><rb>水</rb><rt>みず</rt></ruby>を<ruby><rb>買</rb><rt>か</rt></ruby>いました。;쇼핑을 하고 매점에서 물을 샀습니다.;かいもの (買い物);'구매'는 일본어로 買い物(かいもの)라고 표현합니다. 오늘 배운 買(ばい)를 사용한 단어였습니다!
BEGINNER;強;(きょう, つよ);강하다;弱;(じゃく, よわ);약하다;'공부하다'를 일본어로 무엇이라고 할까요?;勉強(べんきょう);공부;強い(つよい);강하다;弱点(じゃくてん);약점;弱い(よわい);약하다;<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>して<ruby><rb>弱点</rb><rt>じゃくてん</rt></ruby>を<ruby><rb>克服</rb><rt>こくふく</rt></ruby>しました。;공부해서 약점을 극복했습니다.;べんきょう (勉強);'공부하다'는 일본어로 勉強(べんきょう)라고 합니다. 오늘 배운 強(きょう)를 사용한 단어였습니다!
